id,start_date,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date_local,average_speed,max_speed,average_cadence,average_heartrate,max_heartrate,suffer_score
15422210009,2025-08-10T22:43:13Z,Wonky run,19325.7,5162,5214,89.4,Run,2025-08-10T18:43:13Z,3.744,5.017,83.4,161.3,189.0,91.0
15391999369,2025-08-08T20:33:51Z,Afternoon Run,9674.6,2827,2973,77.9,Run,2025-08-08T16:33:51Z,3.422,5.24,81.9,153.1,171.0,28.0
15381778664,2025-08-07T21:20:21Z,Afternoon Run,12880.3,3530,3530,23.3,Run,2025-08-07T17:20:21Z,3.649,4.95,82.0,164.2,185.0,77.0
15363462850,2025-08-06T10:40:35Z,Morning Run,9667.2,2788,2901,97.1,Run,2025-08-06T06:40:35Z,3.467,4.8,82.8,152.1,168.0,25.0
15336813601,2025-08-03T22:21:10Z,Long run paradise,22551.7,5958,6357,214.6,Run,2025-08-03T18:21:10Z,3.785,5.5,83.3,165.9,185.0,130.0
15323688565,2025-08-02T21:07:30Z,Afternoon Run,6472.0,1737,1737,43.7,Run,2025-08-02T17:07:30Z,3.726,4.42,83.0,146.9,165.0,10.0
15302170109,2025-07-31T20:37:07Z,Afternoon Run,8063.5,2020,2020,29.6,Run,2025-07-31T16:37:07Z,3.992,5.74,83.9,151.2,164.0,18.0
15291646244,2025-07-30T22:00:01Z,Evening Run,4840.9,1295,1295,42.4,Run,2025-07-30T18:00:01Z,3.738,5.06,82.7,151.5,164.0,11.0
15280753969,2025-07-29T22:49:39Z,Evening Run,12881.4,3577,3577,87.0,Run,2025-07-29T18:49:39Z,3.601,4.657,82.9,168.7,192.0,96.0
15267939501,2025-07-28T20:45:35Z,Afternoon Run,8490.7,2404,2453,25.1,Run,2025-07-28T16:45:35Z,3.532,4.129,82.8,151.9,164.0,22.0
15242712827,2025-07-26T12:51:26Z,"3 easy, 6 hard, 3 easy",19320.3,5188,5672,98.3,Run,2025-07-26T08:51:26Z,3.724,5.08,83.8,174.6,200.0,170.0
15236717554,2025-07-26T00:12:02Z,Good vibes,6473.3,2002,2133,65.0,Run,2025-07-25T20:12:02Z,3.233,4.6,81.2,146.1,162.0,10.0
15225395752,2025-07-24T20:57:09Z,Afternoon Run,4839.1,1347,1347,40.1,Run,2025-07-24T16:57:09Z,3.593,4.825,82.9,150.1,172.0,10.0
15214533395,2025-07-23T20:27:01Z,Afternoon Run,12905.5,3532,3532,23.3,Run,2025-07-23T16:27:01Z,3.654,4.783,82.2,167.5,190.0,80.0
15204341191,2025-07-22T23:48:22Z,Sunsets and 6:40s pt. 2,8079.8,2055,2081,8.7,Run,2025-07-22T19:48:22Z,3.932,6.057,83.1,154.7,169.0,24.0
15191130492,2025-07-21T20:34:01Z,Afternoon Run,9671.1,2511,2604,35.7,Run,2025-07-21T16:34:01Z,3.851,5.6,83.9,160.9,189.0,45.0
15166584428,2025-07-19T13:10:57Z,Morning Run,20927.7,6093,6249,25.0,Run,2025-07-19T09:10:57Z,3.435,5.2,82.8,152.9,177.0,56.0
15158834424,2025-07-18T20:45:22Z,Afternoon Run,4885.0,1325,1325,42.8,Run,2025-07-18T16:45:22Z,3.687,4.633,82.6,150.0,171.0,14.0
15148854170,2025-07-17T20:47:26Z,First half with Sam,9664.9,2930,3033,83.0,Run,2025-07-17T16:47:26Z,3.299,5.186,80.9,160.2,184.0,47.0
